B1,B2,A1,B3,B4,B5,B6,B7,B8,A2,class
14 ,18 ,1 ,19682 ,23876 ,13 ,9 ,1988 ,1508 ,3 ,0 
17 ,32 ,1 ,16782 ,20247 ,11 ,10 ,1556 ,1578 ,3 ,0 
6 ,6 ,1 ,22260 ,24584 ,10 ,9 ,1536 ,1419 ,3 ,0 
6 ,6 ,1 ,20144 ,23161 ,9 ,8 ,1309 ,1298 ,3 ,0 
23 ,34 ,1 ,14180 ,19978 ,12 ,9 ,2143 ,2121 ,3 ,0 
18 ,25 ,1 ,18764 ,23088 ,13 ,9 ,2201 ,1889 ,3 ,0 
22 ,34 ,1 ,14665 ,18992 ,11 ,10 ,1856 ,1940 ,3 ,0 
11 ,9 ,1 ,19060 ,22704 ,11 ,8 ,1803 ,1486 ,3 ,0 
10 ,7 ,1 ,21189 ,22912 ,15 ,8 ,2327 ,1448 ,3 ,0 
20 ,27 ,1 ,18179 ,22226 ,12 ,9 ,2172 ,1915 ,3 ,0 
18 ,28 ,1 ,15782 ,20461 ,16 ,9 ,2519 ,1542 ,3 ,0 
3 ,4 ,1 ,17375 ,24663 ,7 ,7 ,1130 ,1220 ,3 ,0 
8 ,8 ,1 ,21500 ,24080 ,14 ,10 ,1930 ,1503 ,3 ,0 
43 ,48 ,1 ,19203 ,22825 ,12 ,9 ,2058 ,2044 ,3 ,0 
8 ,10 ,1 ,16731 ,21329 ,10 ,8 ,1630 ,1390 ,3 ,0 
8 ,8 ,1 ,19147 ,21571 ,11 ,9 ,1738 ,1619 ,3 ,0 
18 ,29 ,1 ,19769 ,23375 ,11 ,9 ,1751 ,1796 ,3 ,0 
10 ,8 ,1 ,17607 ,20739 ,15 ,10 ,2164 ,1594 ,3 ,0 
17 ,24 ,1 ,19648 ,22927 ,12 ,9 ,2012 ,1838 ,3 ,0 
16 ,24 ,1 ,19772 ,22627 ,9 ,9 ,1592 ,1725 ,3 ,0 
15 ,26 ,1 ,18458 ,21079 ,13 ,10 ,2041 ,1673 ,3 ,0 
16 ,30 ,1 ,14617 ,21296 ,11 ,10 ,1903 ,1944 ,3 ,0 
19 ,23 ,2 ,17204 ,20766 ,13 ,11 ,2139 ,2033 ,3 ,0 
22 ,51 ,3 ,22671 ,25049 ,9 ,8 ,1370 ,1474 ,3 ,0 
20 ,31 ,3 ,18283 ,22271 ,12 ,8 ,1949 ,1536 ,3 ,0 
27 ,43 ,3 ,20843 ,23616 ,10 ,7 ,1669 ,1882 ,3 ,0 
33 ,45 ,1 ,21568 ,24742 ,14 ,9 ,2319 ,1739 ,3 ,0 
31 ,45 ,1 ,19010 ,22526 ,13 ,9 ,2251 ,2114 ,3 ,0 
15 ,34 ,1 ,18726 ,23743 ,8 ,7 ,1463 ,1915 ,3 ,0 
17 ,29 ,1 ,18932 ,22204 ,11 ,11 ,1606 ,1787 ,6 ,0 
7 ,8 ,1 ,15469 ,18269 ,9 ,8 ,1275 ,1327 ,3 ,0 
15 ,28 ,1 ,20525 ,21848 ,12 ,8 ,1798 ,1410 ,3 ,0 
10 ,9 ,1 ,14131 ,21048 ,12 ,11 ,1837 ,1699 ,3 ,0 
18 ,29 ,1 ,12168 ,16082 ,14 ,10 ,2319 ,1940 ,3 ,0 
7 ,7 ,1 ,17051 ,19881 ,12 ,10 ,1737 ,1473 ,3 ,0 
23 ,37 ,1 ,21182 ,23987 ,11 ,9 ,1962 ,1949 ,3 ,0 
