B1,A1,B2,B3,B4,B5,A2,class
21.01953846,1,19386.88462,17653.16538,14.80769231,2360.807692,7,0
20.30078571,1,20060.89286,20051.01071,8.392857143,1272.535714,8,0
35.00313333,1,15156.66667,14006.35333,13.2,2196.2,3,0
30.56915789,1,19052.68421,19052.68421,11.71052632,1870.342105,6,0
14.7243,1,14182.15,14164.115,10.6,1672.45,2,0
22.217,1,20529.1875,20529.1875,14.75,2217.75,1,0
7.407928571,1,18801.71429,18801.65357,13,1940.964286,3,0
25.6677,1,18673.7,18673.7,10.7,1558.7,3,0
0.069375,1,26642,26642,6.5,589.75,3,1
10.99725,1,17186.4375,17186.4375,15.4375,2096.625,3,0
3.432339623,1,32260.83962,32260.83962,6.518867925,594.4150943,4,1
10.3517,1,20560.4,20560.4,15.6,2273.15,5,0
18.51515,1,21871.55,19928.015,10.825,1463.775,3,0
11.109,1,16408.89286,15659.225,12.14285714,1612.392857,3,0
15.74331429,1,19762.57143,19875.62857,12.22857143,2065.542857,6,0
14.39633333,1,20595.38889,20595.38889,12.38888889,2151.388889,4,0
14.645625,1,18263.40625,18263.40625,15.5,2291.46875,3,0
17.9816,1,19202.06667,19202.06667,14.73333333,2472.533333,3,0
24.12345455,1,20991.68182,20991.68182,15.90909091,2720.636364,3,0
8.711933333,1,16475.8,16475.8,13.8,1901.366667,6,0
13.24547059,1,23400.91176,23400.91176,12.85294118,1996.764706,2,0
19.01009091,1,22207.63636,22207.63636,9.909090909,1328.045455,1,0
8.899105263,1,19197.73684,19197.73684,11.81578947,1749.789474,3,0
6.060066667,1,17912.2,17903.31,9.7,1476.733333,3,0
34.47788235,1,14392.32353,14392.32353,8.352941176,1261.911765,6,0
16.4934375,1,22418.375,23329.13438,14.375,2424.625,3,0
7.212111111,1,13160.22222,13160.22222,12.22222222,1958.166667,7,0
8.424230769,1,17533.15385,17533.15385,10.23076923,1384.346154,8,0
7.655266667,1,18639.83333,18639.83333,12.93333333,1897.866667,3,0
17.7428,1,15926.8,15926.8,12.16666667,2032.533333,3,0
14.26341667,1,21014.375,21012.34583,10.20833333,1820.666667,3,0
7.067833333,1,22657.54167,22657.54167,11.08333333,1628.416667,3,0
25.49373333,1,20900.96667,20900.96667,12.8,2320.9,6,0
9.006933333,1,18593.9,18593.9,12.3,1879.833333,4,0
21.18536842,1,18110.78947,18110.11316,13.26315789,2068.552632,1,0
12.99766667,1,21986.125,21986.125,9.375,1581.5,8,0
13.76738889,1,16194.36111,16194.36111,11.55555556,1635.361111,6,0
8.710666667,1,16812.41667,15752.05417,10.875,1779.75,3,0
16.5301,1,20509.625,20509.625,12.925,2151.5,4,0
13.44019048,1,18426.78571,18426.78571,15.54761905,2297.285714,3,0
17.85405,1,18507.775,18507.775,16.175,2646.025,8,0
5.148,1,18003.67857,18003.67857,9.035714286,1298.214286,15,0
7.864923077,2,19796.69231,19796.69231,11.57692308,1807.461538,10,0
15.4952,3,19742.575,19114.4325,8,1264.625,10,0
7.744705882,1,20340.35294,20340.35294,9.5,1390.117647,6,0
20.13158824,1,18351.82353,18351.82353,10.79411765,1916.176471,3,0
22.57755556,1,15429.27778,15429.27778,15.94444444,2469.416667,3,0
13.84811111,1,19314.88889,19314.88889,10.61111111,1740.75,3,0
9.113113208,1,32543.93396,32543.93396,6.490566038,627.6415094,3,1
95.99473333,1,32853.06667,32853.06667,6.466666667,587.2666667,3,1
15.17329412,1,17155.97059,17155.97059,11.44117647,2029.117647,3,0
24.94083333,1,20234.11111,20234.11111,9.722222222,1860.416667,3,0
16.75292857,1,21111.67857,21111.67857,11.57142857,2104.357143,3,0
25.6723125,1,17941.0625,17922.25938,16.75,2917.15625,3,0
13.70527273,1,22657.36364,22657.36364,12.31818182,2014.636364,6,0
11.41245455,1,17885.81818,16620.74091,15.54545455,2268.909091,3,0
17.66653846,1,21827.19231,21827.19231,12.23076923,2240.5,1,0
15.44130769,1,19880.5,19880.5,11,1839.807692,2,0
18.48004762,1,19133.90476,19133.90476,18.19047619,2844.738095,3,0
16.4273125,1,15827.59375,15827.59375,13.40625,2033.96875,3,0
9.0435,1,17453.58333,17453.58333,13.69444444,1917.138889,3,0
25.63207692,1,20908.30769,20908.30769,10.26923077,1792.5,6,0
8.446,1,20237.38462,20237.38462,14.26923077,2189.653846,13,0
26.3102,1,19197.43333,19197.43333,12.56666667,2501.366667,3,0
6.821947368,1,18816.44737,18816.44737,10.47368421,1531.236842,1,0
26.360375,1,16617.75,16617.75,18.4375,2951.5625,2,0
6.588,1,22909.03333,22909.03333,11.46666667,1683.233333,3,0
18.9164,1,20210.83333,20210.83333,12.9,2283.6,3,0
24.156625,1,20326.41667,20324.25625,9.604166667,1694.604167,3,0
8.887266667,1,17271.26667,17271.26667,12.23333333,1772.1,3,0
35.11266667,1,18752.375,18752.375,10.41666667,1833.416667,3,0
6.570777778,1,21716.72222,21716.72222,13.05555556,1915.833333,3,0
21.90377778,1,19690.33333,19690.33333,14.38888889,2689.277778,6,0
15.299,1,19780.59524,19780.59524,15.0952381,2347.52381,3,0
5.7822,1,13162.95,13159.415,10.5,1656.75,3,0
0.963246324,1,32718.23897,32718.23897,6.481617647,866.0698529,3,1
0.059482143,1,32691.55134,32691.55134,6.486607143,811.6941964,3,1
10.86190476,1,21306.80952,21306.80952,15.73809524,2341.904762,3,0
7.913214286,1,18118.39286,18118.39286,12.42857143,1674.964286,3,0
