B1,B2,B3,A1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A2,class
19 ,25 ,603 ,1 ,18037 ,22474 ,505062372 ,18037 ,22473 ,505052755 ,15 ,9 ,80 ,2175 ,1585 ,2512170 ,3 ,0 
8 ,6 ,40 ,1 ,19755 ,21755 ,473265384 ,19755 ,21755 ,473265384 ,14 ,8 ,72 ,2162 ,1371 ,1879239 ,3 ,0 
18 ,32 ,1018 ,1 ,17651 ,21319 ,454519245 ,17651 ,21319 ,454519245 ,12 ,9 ,86 ,1883 ,1698 ,2883667 ,3 ,0 
12 ,13 ,165 ,1 ,17410 ,21935 ,481153182 ,15791 ,21338 ,455313018 ,10 ,8 ,71 ,1453 ,1362 ,1854685 ,3 ,0 
18 ,27 ,739 ,1 ,18094 ,20683 ,427780488 ,18094 ,20683 ,427780488 ,16 ,9 ,83 ,2458 ,1740 ,3028399 ,3 ,0 
15 ,29 ,840 ,1 ,21184 ,22534 ,507763509 ,19226 ,21707 ,471204534 ,10 ,7 ,56 ,1902 ,1881 ,3538255 ,3 ,0 
4 ,4 ,14 ,1 ,15297 ,17474 ,305343037 ,15297 ,17474 ,305343037 ,7 ,6 ,33 ,928 ,988 ,975817 ,3 ,0 
2 ,3 ,11 ,1 ,21388 ,24294 ,590220058 ,21388 ,24294 ,590220058 ,7 ,8 ,63 ,1117 ,1619 ,2620524 ,3 ,0 
15 ,32 ,1009 ,1 ,21478 ,23808 ,566836471 ,20667 ,23738 ,563487783 ,9 ,9 ,76 ,1350 ,1463 ,2139294 ,3 ,0 
28 ,40 ,1627 ,1 ,18635 ,22966 ,527447549 ,18635 ,22966 ,527447549 ,13 ,9 ,84 ,2035 ,1850 ,3423570 ,3 ,0 
1058 ,9459 ,89467611 ,1 ,32494 ,24817 ,615878590 ,32494 ,24817 ,615878590 ,91 ,756 ,572015 ,102199 ,1245793 ,1550000000000 ,3 ,1 
0 ,0 ,0 ,1 ,32905 ,25157 ,632856131 ,32905 ,25157 ,632856131 ,6 ,1 ,0 ,895 ,488 ,238261 ,3 ,1 
15 ,27 ,723 ,1 ,21104 ,22313 ,497886497 ,21104 ,22313 ,497886497 ,11 ,9 ,73 ,1849 ,1758 ,3090057 ,3 ,0 
17 ,24 ,575 ,1 ,18756 ,22953 ,526843662 ,18755 ,22954 ,526877338 ,14 ,10 ,105 ,2186 ,1673 ,2799580 ,3 ,0 
