B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,class,A1
15.73625,32,19643,22718,19643,22718,8,6,1679,2063,0,1
15.681,17,25855,26461,25855,26461,15,6,2745,1801,0,2
19.287,36,21102,22688,19911,22441,11,8,1799,1498,0,3
23.71828571,23,10651,17242,10651,17242,18,4,3034,1096,0,3
23.19835294,38,20117,22352,20109,22357,11,8,1996,1798,0,3
49.91266667,52,13413,17799,13413,17799,15,6,2124,1225,0,3
27.80416667,42,21617,22353,21651,22370,11,9,1725,1613,0,6
12.62917647,21,16537,21445,16567,21468,11,8,1921,1766,0,4
22.53822727,37,21512,22941,21654,23011,11,9,1511,1435,0,10
28.65255556,43,24066,26100,24066,26100,12,7,2189,1858,0,10
10.84860714,7,17524,21709,17524,21709,14,9,2162,1452,0,1
9.239529412,10,15474,21718,14256,21158,8,8,1294,1412,0,8
10.37153333,8,17432,21322,17432,21322,15,9,2268,1462,0,3
16.68266667,31,18653,23225,18653,23225,10,7,1501,1241,0,6
25.92988235,46,20364,23779,20364,23779,7,7,1294,1599,0,1
15.98423077,31,18375,20050,18375,20050,12,8,2003,1578,0,8
29.19161538,39,14122,17570,14107,17577,9,8,2134,2563,0,6
10.05786667,6,17365,20663,17365,20663,15,8,2361,1512,0,4
8.8928,6,18390,19115,18390,19115,14,9,2056,1392,0,3
9.3282,6,18928,21230,18928,21230,14,8,2086,1405,0,3
11.04236842,14,22592,23809,22592,23809,13,8,2397,2417,0,6
24.82066667,52,23202,24161,21742,23814,9,7,1248,1258,0,3
10.32640909,7,17582,19417,16938,19516,15,9,2295,1560,0,1
23.73285714,40,20789,23396,20789,23396,10,6,1445,1206,0,2
22.41644444,36,20466,22498,18728,22656,14,10,2087,1608,0,3
13.01465,25,22191,23747,22191,23747,11,9,1692,1570,0,6
21.5851,35,18253,23147,18253,23147,12,7,1875,1274,0,3
13.815,17,21171,22909,21171,22909,10,8,1692,1540,0,3
11.23627778,10,16276,22076,16275,22077,13,7,2366,1620,0,3
10.92290909,24,17405,21924,17396,21930,10,7,1610,1523,0,3
21.4844,31,14011,18738,14011,18738,12,9,1782,1637,0,3
16.70466667,35,20771,22624,20771,22624,10,9,1711,1683,0,3
6.726352941,8,19383,21171,19383,21171,9,9,1466,1698,0,1
