B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A1,A2,class
16.5832,28.77941458,828.2547036,16795,20992.72506,440694505.4,16795,20992.72506,440694505.4,11.46666667,8.84207115,78.18222222,1990.766667,1790.798196,3206958.179,1,3,0
18.17895833,32.59692537,1062.559544,21247.8125,24313.99048,591170132.9,21247.8125,24313.99048,591170132.9,9.791666667,8.149535604,66.41493056,1431.916667,1415.572276,2003844.868,1,3,0
14.42273684,20.07275285,402.915407,18654,22577.77774,509756047.9,18654,22577.77774,509756047.9,13.21052632,10.46336439,109.4819945,2196.947368,1915.513755,3669192.945,1,3,0
15.62447059,27.27305641,743.819606,22651.55882,24930.36795,621523246.2,22651.55882,24930.36795,621523246.2,12.82352941,7.512619142,56.43944637,1877.264706,1235.611597,1526736.018,1,3,0
9.689090909,6.977322402,48.6830279,19493.81818,22986.05659,528358797.7,19493.81818,22986.05659,528358797.7,15.31818182,9.493473182,90.12603306,2217.227273,1463.985902,2143254.721,1,3,0
9.632888889,4.171019818,17.39740632,17649.94444,19395.01485,376166601.1,17649.94444,19395.01485,376166601.1,16.55555556,4.878777422,23.80246914,2677.055556,855.4171479,731738.4969,1,3,0
26.42466667,38.15265166,1455.624829,20736.3,24962.86977,623144867.1,20736.3,24962.86977,623144867.1,15.4,9.502981988,90.30666667,2577.4,2134.429676,4555790.04,1,3,0
14.7101875,22.19607256,492.6656369,21207.96875,25258.18476,637975897.5,21207.25938,25258.61719,637997742.5,11.3125,8.334557202,69.46484375,1880.21875,1567.512196,2457094.483,1,3,0
13.83163636,19.66791882,386.8270306,18914,20980.69993,440189769.5,20296.19545,22172.30055,491610911.8,12.77272727,7.121872955,50.72107438,2188.772727,1661.147931,2759412.448,1,3,0
25.90128571,39.62923884,1570.476571,13912.21429,17170.92508,294840668,13912.21429,17170.92508,294840668,12.28571429,8.713114675,75.91836735,2044.5,2288.816062,5238678.964,1,3,0
0.0621875,0.011424856,0.000130527,26891.0625,22351.89589,499607249.7,26891.0625,22351.89589,499607249.7,6.5,0.5,0.25,589.75,69.53551251,4835.1875,1,3,1
22.38971429,45.92584144,2109.182912,17727.69048,21296.99182,453561860.4,17727.69048,21296.99182,453561860.4,12.28571429,9.1268461,83.29931973,1989.52381,1834.946791,3367029.726,1,3,0
22.8846875,37.30665751,1391.786695,20140.6875,22950.95902,526746520.2,20140.6875,22950.95902,526746520.2,12.125,7.912608609,62.609375,2311.40625,2118.461188,4487877.804,1,3,0
16.91376471,25.22063568,636.0804641,20567.05882,22539.34002,508021848.5,20567.05882,22539.34002,508021848.5,11.82352941,8.009077894,64.14532872,2304,2231.958636,4981639.353,1,3,0
16.69428571,29.74122407,884.5404092,20000.85714,23358.3722,545613551.6,20000.85714,23358.3722,545613551.6,12.53571429,8.428193091,71.03443878,2103.178571,1839.578757,3384050.004,1,3,0
8.5495625,6.579528763,43.29019875,16819.5625,21250.50573,451583993.6,16819.5625,21250.50573,451583993.6,13.09375,8.917536708,79.52246094,1985.90625,1498.546324,2245641.085,1,3,0
29.571,39.32378532,1546.360092,20822.20588,23471.61235,550916586.2,19562.21471,23384.48826,546834291.2,9.882352941,9.002498692,81.0449827,1682.617647,1862.364974,3468403.295,1,3,0
